Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;45 Toledo;45019 Bargas;De 85 a 89 años;1 de enero de 2020;135
Total;45 Toledo;45019 Bargas;De 90 a 94 años;1 de enero de 2020;90
Total;45 Toledo;45019 Bargas;De 95 a 99 años;1 de enero de 2020;19
Total;45 Toledo;45019 Bargas;100 y más años;1 de enero de 2020;4
Total;45 Toledo;45020 Belvís de la Jara;Todas las edades;1 de enero de 2020;1.535
Total;45 Toledo;45020 Belvís de la Jara;De 0 a 4 años;1 de enero de 2020;40
Total;45 Toledo;45020 Belvís de la Jara;De 5 a 9 años;1 de enero de 2020;51
Total;45 Toledo;45020 Belvís de la Jara;De 10 a 14 años;1 de enero de 2020;64
Total;45 Toledo;45020 Belvís de la Jara;De 65 a 69 años;1 de enero de 2020;80
Total;45 Toledo;45020 Belvís de la Jara;De 70 a 74 años;1 de enero de 2020;79
Total;45 Toledo;45020 Belvís de la Jara;De 75 a 79 años;1 de enero de 2020;84
Total;45 Toledo;45020 Belvís de la Jara;De 80 a 84 años;1 de enero de 2020;95
Total;45 Toledo;45020 Belvís de la Jara;De 85 a 89 años;1 de enero de 2020;91
Total;45 Toledo;45020 Belvís de la Jara;De 90 a 94 años;1 de enero de 2020;47
Total;45 Toledo;45020 Belvís de la Jara;De 95 a 99 años;1 de enero de 2020;12
Total;45 Toledo;45020 Belvís de la Jara;100 y más años;1 de enero de 2020;0
Total;45 Toledo;45021 Borox;Todas las edades;1 de enero de 2020;3.958
Total;45 Toledo;45021 Borox;De 0 a 4 años;1 de enero de 2020;190
Total;45 Toledo;45021 Borox;De 5 a 9 años;1 de enero de 2020;227
Total;45 Toledo;45021 Borox;De 10 a 14 años;1 de enero de 2020;233
Total;45 Toledo;45021 Borox;De 65 a 69 años;1 de enero de 2020;141
Total;45 Toledo;45021 Borox;De 70 a 74 años;1 de enero de 2020;132
Total;45 Toledo;45021 Borox;De 75 a 79 años;1 de enero de 2020;112
Total;45 Toledo;45021 Borox;De 80 a 84 años;1 de enero de 2020;89
Total;45 Toledo;45021 Borox;De 85 a 89 años;1 de enero de 2020;66
Total;45 Toledo;45021 Borox;De 90 a 94 años;1 de enero de 2020;33
Total;45 Toledo;45021 Borox;De 95 a 99 años;1 de enero de 2020;7
Total;45 Toledo;45021 Borox;100 y más años;1 de enero de 2020;1
Total;45 Toledo;45022 Buenaventura;Todas las edades;1 de enero de 2020;423
Total;45 Toledo;45022 Buenaventura;De 0 a 4 años;1 de enero de 2020;4
Total;45 Toledo;45022 Buenaventura;De 5 a 9 años;1 de enero de 2020;6
Total;45 Toledo;45022 Buenaventura;De 10 a 14 años;1 de enero de 2020;6
Total;45 Toledo;45022 Buenaventura;De 65 a 69 años;1 de enero de 2020;19
Total;45 Toledo;45022 Buenaventura;De 70 a 74 años;1 de enero de 2020;20
Total;45 Toledo;45022 Buenaventura;De 75 a 79 años;1 de enero de 2020;29
Total;45 Toledo;45022 Buenaventura;De 80 a 84 años;1 de enero de 2020;33
Total;45 Toledo;45022 Buenaventura;De 85 a 89 años;1 de enero de 2020;28
Total;45 Toledo;45022 Buenaventura;De 90 a 94 años;1 de enero de 2020;17
Total;45 Toledo;45022 Buenaventura;De 95 a 99 años;1 de enero de 2020;3
Total;45 Toledo;45022 Buenaventura;100 y más años;1 de enero de 2020;1
Total;45 Toledo;45023 Burguillos de Toledo;Todas las edades;1 de enero de 2020;3.288
Total;45 Toledo;45023 Burguillos de Toledo;De 0 a 4 años;1 de enero de 2020;176
Total;45 Toledo;45023 Burguillos de Toledo;De 5 a 9 años;1 de enero de 2020;271
Total;45 Toledo;45023 Burguillos de Toledo;De 10 a 14 años;1 de enero de 2020;274
Total;45 Toledo;45023 Burguillos de Toledo;De 65 a 69 años;1 de enero de 2020;100
Total;45 Toledo;45023 Burguillos de Toledo;De 70 a 74 años;1 de enero de 2020;87
Total;45 Toledo;45023 Burguillos de Toledo;De 75 a 79 años;1 de enero de 2020;55
Total;45 Toledo;45023 Burguillos de Toledo;De 80 a 84 años;1 de enero de 2020;43
Total;45 Toledo;45023 Burguillos de Toledo;De 85 a 89 años;1 de enero de 2020;24
Total;45 Toledo;45023 Burguillos de Toledo;De 90 a 94 años;1 de enero de 2020;14
Total;45 Toledo;45023 Burguillos de Toledo;De 95 a 99 años;1 de enero de 2020;1
Total;45 Toledo;45023 Burguillos de Toledo;100 y más años;1 de enero de 2020;0
Total;45 Toledo;45024 Burujón;Todas las edades;1 de enero de 2020;1.307
Total;45 Toledo;45024 Burujón;De 0 a 4 años;1 de enero de 2020;58
Total;45 Toledo;45024 Burujón;De 5 a 9 años;1 de enero de 2020;73
Total;45 Toledo;45024 Burujón;De 10 a 14 años;1 de enero de 2020;68
Total;45 Toledo;45024 Burujón;De 65 a 69 años;1 de enero de 2020;71
Total;45 Toledo;45024 Burujón;De 70 a 74 años;1 de enero de 2020;53
Total;45 Toledo;45024 Burujón;De 75 a 79 años;1 de enero de 2020;57
Total;45 Toledo;45024 Burujón;De 80 a 84 años;1 de enero de 2020;50
Total;45 Toledo;45024 Burujón;De 85 a 89 años;1 de enero de 2020;35
Total;45 Toledo;45024 Burujón;De 90 a 94 años;1 de enero de 2020;14
Total;45 Toledo;45024 Burujón;De 95 a 99 años;1 de enero de 2020;2
Total;45 Toledo;45024 Burujón;100 y más años;1 de enero de 2020;1
Total;45 Toledo;45025 Cabañas de la Sagra;Todas las edades;1 de enero de 2020;1.857
Total;45 Toledo;45025 Cabañas de la Sagra;De 0 a 4 años;1 de enero de 2020;65
Total;45 Toledo;45025 Cabañas de la Sagra;De 5 a 9 años;1 de enero de 2020;89
Total;45 Toledo;45025 Cabañas de la Sagra;De 10 a 14 años;1 de enero de 2020;123
Total;45 Toledo;45025 Cabañas de la Sagra;De 65 a 69 años;1 de enero de 2020;82
Total;45 Toledo;45025 Cabañas de la Sagra;De 70 a 74 años;1 de enero de 2020;59
Total;45 Toledo;45025 Cabañas de la Sagra;De 75 a 79 años;1 de enero de 2020;73
Total;45 Toledo;45025 Cabañas de la Sagra;De 80 a 84 años;1 de enero de 2020;29
Total;45 Toledo;45025 Cabañas de la Sagra;De 85 a 89 años;1 de enero de 2020;28
Total;45 Toledo;45025 Cabañas de la Sagra;De 90 a 94 años;1 de enero de 2020;17
Total;45 Toledo;45025 Cabañas de la Sagra;De 95 a 99 años;1 de enero de 2020;6
Total;45 Toledo;45025 Cabañas de la Sagra;100 y más años;1 de enero de 2020;0
