Municipio;Nacionalidad;Sexo;Destino;Total
13065 Porzuna;Total;Total;Misma provincia;55
13065 Porzuna;Total;Total;Misma comunidad autónoma, distinta provincia;14
13065 Porzuna;Total;Total;Otra comunidad autónoma;35
13065 Porzuna;Total;Total;Extranjero;8
13066 Pozuelo de Calatrava;Total;Total;Misma provincia;78
13066 Pozuelo de Calatrava;Total;Total;Misma comunidad autónoma, distinta provincia;3
13066 Pozuelo de Calatrava;Total;Total;Otra comunidad autónoma;23
13066 Pozuelo de Calatrava;Total;Total;Extranjero;9
13067 Pozuelos de Calatrava, Los;Total;Total;Misma provincia;13
13067 Pozuelos de Calatrava, Los;Total;Total;Misma comunidad autónoma, distinta provincia;0
13067 Pozuelos de Calatrava, Los;Total;Total;Otra comunidad autónoma;8
13067 Pozuelos de Calatrava, Los;Total;Total;Extranjero;0
13068 Puebla de Don Rodrigo;Total;Total;Misma provincia;22
13068 Puebla de Don Rodrigo;Total;Total;Misma comunidad autónoma, distinta provincia;4
13068 Puebla de Don Rodrigo;Total;Total;Otra comunidad autónoma;12
13068 Puebla de Don Rodrigo;Total;Total;Extranjero;0
13069 Puebla del Príncipe;Total;Total;Misma provincia;2
13069 Puebla del Príncipe;Total;Total;Misma comunidad autónoma, distinta provincia;3
13069 Puebla del Príncipe;Total;Total;Otra comunidad autónoma;13
13069 Puebla del Príncipe;Total;Total;Extranjero;1
13070 Puerto Lápice;Total;Total;Misma provincia;8
13070 Puerto Lápice;Total;Total;Misma comunidad autónoma, distinta provincia;4
13070 Puerto Lápice;Total;Total;Otra comunidad autónoma;9
13070 Puerto Lápice;Total;Total;Extranjero;0
13071 Puertollano;Total;Total;Misma provincia;344
13071 Puertollano;Total;Total;Misma comunidad autónoma, distinta provincia;73
13071 Puertollano;Total;Total;Otra comunidad autónoma;604
13071 Puertollano;Total;Total;Extranjero;67
13072 Retuerta del Bullaque;Total;Total;Misma provincia;7
13072 Retuerta del Bullaque;Total;Total;Misma comunidad autónoma, distinta provincia;5
13072 Retuerta del Bullaque;Total;Total;Otra comunidad autónoma;14
13072 Retuerta del Bullaque;Total;Total;Extranjero;0
13901 Robledo, El;Total;Total;Misma provincia;18
13901 Robledo, El;Total;Total;Misma comunidad autónoma, distinta provincia;8
13901 Robledo, El;Total;Total;Otra comunidad autónoma;4
13901 Robledo, El;Total;Total;Extranjero;2
13902 Ruidera;Total;Total;Misma provincia;7
13902 Ruidera;Total;Total;Misma comunidad autónoma, distinta provincia;2
13902 Ruidera;Total;Total;Otra comunidad autónoma;5
13902 Ruidera;Total;Total;Extranjero;0
13073 Saceruela;Total;Total;Misma provincia;19
13073 Saceruela;Total;Total;Misma comunidad autónoma, distinta provincia;0
13073 Saceruela;Total;Total;Otra comunidad autónoma;5
13073 Saceruela;Total;Total;Extranjero;0
13074 San Carlos del Valle;Total;Total;Misma provincia;9
13074 San Carlos del Valle;Total;Total;Misma comunidad autónoma, distinta provincia;0
13074 San Carlos del Valle;Total;Total;Otra comunidad autónoma;9
13074 San Carlos del Valle;Total;Total;Extranjero;0
13075 San Lorenzo de Calatrava;Total;Total;Misma provincia;11
13075 San Lorenzo de Calatrava;Total;Total;Misma comunidad autónoma, distinta provincia;0
13075 San Lorenzo de Calatrava;Total;Total;Otra comunidad autónoma;2
13075 San Lorenzo de Calatrava;Total;Total;Extranjero;0
13076 Santa Cruz de los Cáñamos;Total;Total;Misma provincia;3
13076 Santa Cruz de los Cáñamos;Total;Total;Misma comunidad autónoma, distinta provincia;0
13076 Santa Cruz de los Cáñamos;Total;Total;Otra comunidad autónoma;1
13076 Santa Cruz de los Cáñamos;Total;Total;Extranjero;0
13077 Santa Cruz de Mudela;Total;Total;Misma provincia;37
13077 Santa Cruz de Mudela;Total;Total;Misma comunidad autónoma, distinta provincia;6
13077 Santa Cruz de Mudela;Total;Total;Otra comunidad autónoma;54
13077 Santa Cruz de Mudela;Total;Total;Extranjero;8
13078 Socuéllamos;Total;Total;Misma provincia;50
13078 Socuéllamos;Total;Total;Misma comunidad autónoma, distinta provincia;53
13078 Socuéllamos;Total;Total;Otra comunidad autónoma;132
13078 Socuéllamos;Total;Total;Extranjero;43
13080 Solana del Pino;Total;Total;Misma provincia;2
13080 Solana del Pino;Total;Total;Misma comunidad autónoma, distinta provincia;2
13080 Solana del Pino;Total;Total;Otra comunidad autónoma;1
13080 Solana del Pino;Total;Total;Extranjero;0
13079 Solana, La;Total;Total;Misma provincia;82
13079 Solana, La;Total;Total;Misma comunidad autónoma, distinta provincia;7
13079 Solana, La;Total;Total;Otra comunidad autónoma;88
13079 Solana, La;Total;Total;Extranjero;26
13081 Terrinches;Total;Total;Misma provincia;2
13081 Terrinches;Total;Total;Misma comunidad autónoma, distinta provincia;1
13081 Terrinches;Total;Total;Otra comunidad autónoma;10
13081 Terrinches;Total;Total;Extranjero;0
13082 Tomelloso;Total;Total;Misma provincia;165
13082 Tomelloso;Total;Total;Misma comunidad autónoma, distinta provincia;112
13082 Tomelloso;Total;Total;Otra comunidad autónoma;369
13082 Tomelloso;Total;Total;Extranjero;165
13083 Torralba de Calatrava;Total;Total;Misma provincia;37
13083 Torralba de Calatrava;Total;Total;Misma comunidad autónoma, distinta provincia;2
13083 Torralba de Calatrava;Total;Total;Otra comunidad autónoma;18
13083 Torralba de Calatrava;Total;Total;Extranjero;9
13084 Torre de Juan Abad;Total;Total;Misma provincia;11
13084 Torre de Juan Abad;Total;Total;Misma comunidad autónoma, distinta provincia;1
13084 Torre de Juan Abad;Total;Total;Otra comunidad autónoma;10
13084 Torre de Juan Abad;Total;Total;Extranjero;0
13085 Torrenueva;Total;Total;Misma provincia;31
13085 Torrenueva;Total;Total;Misma comunidad autónoma, distinta provincia;5
13085 Torrenueva;Total;Total;Otra comunidad autónoma;6
13085 Torrenueva;Total;Total;Extranjero;4
13086 Valdemanco del Esteras;Total;Total;Misma provincia;1
13086 Valdemanco del Esteras;Total;Total;Misma comunidad autónoma, distinta provincia;0
13086 Valdemanco del Esteras;Total;Total;Otra comunidad autónoma;2
13086 Valdemanco del Esteras;Total;Total;Extranjero;0
13087 Valdepeñas;Total;Total;Misma provincia;207
13087 Valdepeñas;Total;Total;Misma comunidad autónoma, distinta provincia;64
13087 Valdepeñas;Total;Total;Otra comunidad autónoma;384
13087 Valdepeñas;Total;Total;Extranjero;122
13088 Valenzuela de Calatrava;Total;Total;Misma provincia;20
13088 Valenzuela de Calatrava;Total;Total;Misma comunidad autónoma, distinta provincia;1
13088 Valenzuela de Calatrava;Total;Total;Otra comunidad autónoma;1
13088 Valenzuela de Calatrava;Total;Total;Extranjero;0
13089 Villahermosa;Total;Total;Misma provincia;14
13089 Villahermosa;Total;Total;Misma comunidad autónoma, distinta provincia;5
13089 Villahermosa;Total;Total;Otra comunidad autónoma;25
13089 Villahermosa;Total;Total;Extranjero;0
