Provincias;Municipios;Edad (grupos quinquenales);Sexo;Periodo;Total
02 Albacete;02015 Barrax;Todas las edades;Total;1 de enero de 2018;1.864
02 Albacete;02015 Barrax;Todas las edades;Total;1 de enero de 2017;1.872
02 Albacete;02015 Barrax;Todas las edades;Total;1 de enero de 2016;1.903
02 Albacete;02015 Barrax;Todas las edades;Total;1 de enero de 2015;1.915
02 Albacete;02015 Barrax;Todas las edades;Total;1 de enero de 2014;1.920
02 Albacete;02015 Barrax;Todas las edades;Total;1 de enero de 2013;1.934
02 Albacete;02015 Barrax;Todas las edades;Total;1 de enero de 2012;2.027
02 Albacete;02015 Barrax;Todas las edades;Total;1 de enero de 2011;2.063
02 Albacete;02015 Barrax;Todas las edades;Total;1 de enero de 2010;2.053
02 Albacete;02016 Bienservida;Todas las edades;Total;1 de enero de 2022;574
02 Albacete;02016 Bienservida;Todas las edades;Total;1 de enero de 2021;595
02 Albacete;02016 Bienservida;Todas las edades;Total;1 de enero de 2020;579
02 Albacete;02016 Bienservida;Todas las edades;Total;1 de enero de 2019;603
02 Albacete;02016 Bienservida;Todas las edades;Total;1 de enero de 2018;610
02 Albacete;02016 Bienservida;Todas las edades;Total;1 de enero de 2017;615
02 Albacete;02016 Bienservida;Todas las edades;Total;1 de enero de 2016;634
02 Albacete;02016 Bienservida;Todas las edades;Total;1 de enero de 2015;664
02 Albacete;02016 Bienservida;Todas las edades;Total;1 de enero de 2014;668
02 Albacete;02016 Bienservida;Todas las edades;Total;1 de enero de 2013;696
02 Albacete;02016 Bienservida;Todas las edades;Total;1 de enero de 2012;712
02 Albacete;02016 Bienservida;Todas las edades;Total;1 de enero de 2011;729
02 Albacete;02016 Bienservida;Todas las edades;Total;1 de enero de 2010;743
02 Albacete;02017 Bogarra;Todas las edades;Total;1 de enero de 2022;756
02 Albacete;02017 Bogarra;Todas las edades;Total;1 de enero de 2021;768
02 Albacete;02017 Bogarra;Todas las edades;Total;1 de enero de 2020;807
02 Albacete;02017 Bogarra;Todas las edades;Total;1 de enero de 2019;842
02 Albacete;02017 Bogarra;Todas las edades;Total;1 de enero de 2018;873
02 Albacete;02017 Bogarra;Todas las edades;Total;1 de enero de 2017;908
02 Albacete;02017 Bogarra;Todas las edades;Total;1 de enero de 2016;920
02 Albacete;02017 Bogarra;Todas las edades;Total;1 de enero de 2015;947
02 Albacete;02017 Bogarra;Todas las edades;Total;1 de enero de 2014;955
02 Albacete;02017 Bogarra;Todas las edades;Total;1 de enero de 2013;970
02 Albacete;02017 Bogarra;Todas las edades;Total;1 de enero de 2012;996
02 Albacete;02017 Bogarra;Todas las edades;Total;1 de enero de 2011;1.009
02 Albacete;02017 Bogarra;Todas las edades;Total;1 de enero de 2010;1.015
02 Albacete;02018 Bonete;Todas las edades;Total;1 de enero de 2022;1.006
02 Albacete;02018 Bonete;Todas las edades;Total;1 de enero de 2021;1.031
02 Albacete;02018 Bonete;Todas las edades;Total;1 de enero de 2020;1.029
02 Albacete;02018 Bonete;Todas las edades;Total;1 de enero de 2019;1.049
02 Albacete;02018 Bonete;Todas las edades;Total;1 de enero de 2018;1.057
02 Albacete;02018 Bonete;Todas las edades;Total;1 de enero de 2017;1.103
02 Albacete;02018 Bonete;Todas las edades;Total;1 de enero de 2016;1.123
02 Albacete;02018 Bonete;Todas las edades;Total;1 de enero de 2015;1.127
02 Albacete;02018 Bonete;Todas las edades;Total;1 de enero de 2014;1.157
02 Albacete;02018 Bonete;Todas las edades;Total;1 de enero de 2013;1.209
02 Albacete;02018 Bonete;Todas las edades;Total;1 de enero de 2012;1.225
02 Albacete;02018 Bonete;Todas las edades;Total;1 de enero de 2011;1.220
02 Albacete;02018 Bonete;Todas las edades;Total;1 de enero de 2010;1.217
02 Albacete;02019 Bonillo, El;Todas las edades;Total;1 de enero de 2022;2.698
02 Albacete;02019 Bonillo, El;Todas las edades;Total;1 de enero de 2021;2.718
02 Albacete;02019 Bonillo, El;Todas las edades;Total;1 de enero de 2020;2.723
02 Albacete;02019 Bonillo, El;Todas las edades;Total;1 de enero de 2019;2.779
02 Albacete;02019 Bonillo, El;Todas las edades;Total;1 de enero de 2018;2.837
02 Albacete;02019 Bonillo, El;Todas las edades;Total;1 de enero de 2017;2.852
02 Albacete;02019 Bonillo, El;Todas las edades;Total;1 de enero de 2016;2.889
02 Albacete;02019 Bonillo, El;Todas las edades;Total;1 de enero de 2015;2.915
02 Albacete;02019 Bonillo, El;Todas las edades;Total;1 de enero de 2014;2.956
02 Albacete;02019 Bonillo, El;Todas las edades;Total;1 de enero de 2013;2.968
02 Albacete;02019 Bonillo, El;Todas las edades;Total;1 de enero de 2012;3.012
02 Albacete;02019 Bonillo, El;Todas las edades;Total;1 de enero de 2011;3.033
02 Albacete;02019 Bonillo, El;Todas las edades;Total;1 de enero de 2010;3.052
02 Albacete;02020 Carcelén;Todas las edades;Total;1 de enero de 2022;483
02 Albacete;02020 Carcelén;Todas las edades;Total;1 de enero de 2021;496
02 Albacete;02020 Carcelén;Todas las edades;Total;1 de enero de 2020;495
02 Albacete;02020 Carcelén;Todas las edades;Total;1 de enero de 2019;501
02 Albacete;02020 Carcelén;Todas las edades;Total;1 de enero de 2018;508
02 Albacete;02020 Carcelén;Todas las edades;Total;1 de enero de 2017;521
02 Albacete;02020 Carcelén;Todas las edades;Total;1 de enero de 2016;518
02 Albacete;02020 Carcelén;Todas las edades;Total;1 de enero de 2015;546
02 Albacete;02020 Carcelén;Todas las edades;Total;1 de enero de 2014;573
02 Albacete;02020 Carcelén;Todas las edades;Total;1 de enero de 2013;600
02 Albacete;02020 Carcelén;Todas las edades;Total;1 de enero de 2012;639
02 Albacete;02020 Carcelén;Todas las edades;Total;1 de enero de 2011;668
02 Albacete;02020 Carcelén;Todas las edades;Total;1 de enero de 2010;645
02 Albacete;02021 Casas de Juan Núñez;Todas las edades;Total;1 de enero de 2022;1.356
02 Albacete;02021 Casas de Juan Núñez;Todas las edades;Total;1 de enero de 2021;1.361
02 Albacete;02021 Casas de Juan Núñez;Todas las edades;Total;1 de enero de 2020;1.326
02 Albacete;02021 Casas de Juan Núñez;Todas las edades;Total;1 de enero de 2019;1.307
02 Albacete;02021 Casas de Juan Núñez;Todas las edades;Total;1 de enero de 2018;1.275
02 Albacete;02021 Casas de Juan Núñez;Todas las edades;Total;1 de enero de 2017;1.291
02 Albacete;02021 Casas de Juan Núñez;Todas las edades;Total;1 de enero de 2016;1.318
02 Albacete;02021 Casas de Juan Núñez;Todas las edades;Total;1 de enero de 2015;1.382
02 Albacete;02021 Casas de Juan Núñez;Todas las edades;Total;1 de enero de 2014;1.372
02 Albacete;02021 Casas de Juan Núñez;Todas las edades;Total;1 de enero de 2013;1.423
02 Albacete;02021 Casas de Juan Núñez;Todas las edades;Total;1 de enero de 2012;1.441
02 Albacete;02021 Casas de Juan Núñez;Todas las edades;Total;1 de enero de 2011;1.461
02 Albacete;02021 Casas de Juan Núñez;Todas las edades;Total;1 de enero de 2010;1.410
02 Albacete;02022 Casas de Lázaro;Todas las edades;Total;1 de enero de 2022;321
02 Albacete;02022 Casas de Lázaro;Todas las edades;Total;1 de enero de 2021;328
02 Albacete;02022 Casas de Lázaro;Todas las edades;Total;1 de enero de 2020;348
02 Albacete;02022 Casas de Lázaro;Todas las edades;Total;1 de enero de 2019;363
02 Albacete;02022 Casas de Lázaro;Todas las edades;Total;1 de enero de 2018;344
02 Albacete;02022 Casas de Lázaro;Todas las edades;Total;1 de enero de 2017;358
02 Albacete;02022 Casas de Lázaro;Todas las edades;Total;1 de enero de 2016;380
02 Albacete;02022 Casas de Lázaro;Todas las edades;Total;1 de enero de 2015;403
02 Albacete;02022 Casas de Lázaro;Todas las edades;Total;1 de enero de 2014;386
02 Albacete;02022 Casas de Lázaro;Todas las edades;Total;1 de enero de 2013;406
02 Albacete;02022 Casas de Lázaro;Todas las edades;Total;1 de enero de 2012;446
02 Albacete;02022 Casas de Lázaro;Todas las edades;Total;1 de enero de 2011;475
02 Albacete;02022 Casas de Lázaro;Todas las edades;Total;1 de enero de 2010;453
02 Albacete;02023 Casas de Ves;Todas las edades;Total;1 de enero de 2022;561
02 Albacete;02023 Casas de Ves;Todas las edades;Total;1 de enero de 2021;564
02 Albacete;02023 Casas de Ves;Todas las edades;Total;1 de enero de 2020;563
02 Albacete;02023 Casas de Ves;Todas las edades;Total;1 de enero de 2019;572
02 Albacete;02023 Casas de Ves;Todas las edades;Total;1 de enero de 2018;588
02 Albacete;02023 Casas de Ves;Todas las edades;Total;1 de enero de 2017;628
02 Albacete;02023 Casas de Ves;Todas las edades;Total;1 de enero de 2016;654
02 Albacete;02023 Casas de Ves;Todas las edades;Total;1 de enero de 2015;666
02 Albacete;02023 Casas de Ves;Todas las edades;Total;1 de enero de 2014;689
02 Albacete;02023 Casas de Ves;Todas las edades;Total;1 de enero de 2013;701
02 Albacete;02023 Casas de Ves;Todas las edades;Total;1 de enero de 2012;724
02 Albacete;02023 Casas de Ves;Todas las edades;Total;1 de enero de 2011;748
02 Albacete;02023 Casas de Ves;Todas las edades;Total;1 de enero de 2010;787
02 Albacete;02024 Casas-Ibáñez;Todas las edades;Total;1 de enero de 2022;4.547
02 Albacete;02024 Casas-Ibáñez;Todas las edades;Total;1 de enero de 2021;4.540
02 Albacete;02024 Casas-Ibáñez;Todas las edades;Total;1 de enero de 2020;4.544
02 Albacete;02024 Casas-Ibáñez;Todas las edades;Total;1 de enero de 2019;4.538
02 Albacete;02024 Casas-Ibáñez;Todas las edades;Total;1 de enero de 2018;4.522
02 Albacete;02024 Casas-Ibáñez;Todas las edades;Total;1 de enero de 2017;4.558
02 Albacete;02024 Casas-Ibáñez;Todas las edades;Total;1 de enero de 2016;4.555
02 Albacete;02024 Casas-Ibáñez;Todas las edades;Total;1 de enero de 2015;4.658
02 Albacete;02024 Casas-Ibáñez;Todas las edades;Total;1 de enero de 2014;4.713
02 Albacete;02024 Casas-Ibáñez;Todas las edades;Total;1 de enero de 2013;4.753
02 Albacete;02024 Casas-Ibáñez;Todas las edades;Total;1 de enero de 2012;4.843
02 Albacete;02024 Casas-Ibáñez;Todas las edades;Total;1 de enero de 2011;4.818
02 Albacete;02024 Casas-Ibáñez;Todas las edades;Total;1 de enero de 2010;4.761
02 Albacete;02025 Caudete;Todas las edades;Total;1 de enero de 2022;10.135
02 Albacete;02025 Caudete;Todas las edades;Total;1 de enero de 2021;10.077
02 Albacete;02025 Caudete;Todas las edades;Total;1 de enero de 2020;10.005
02 Albacete;02025 Caudete;Todas las edades;Total;1 de enero de 2019;9.963
02 Albacete;02025 Caudete;Todas las edades;Total;1 de enero de 2018;10.003
02 Albacete;02025 Caudete;Todas las edades;Total;1 de enero de 2017;10.010
02 Albacete;02025 Caudete;Todas las edades;Total;1 de enero de 2016;10.115
02 Albacete;02025 Caudete;Todas las edades;Total;1 de enero de 2015;10.163
02 Albacete;02025 Caudete;Todas las edades;Total;1 de enero de 2014;10.294
02 Albacete;02025 Caudete;Todas las edades;Total;1 de enero de 2013;10.250
02 Albacete;02025 Caudete;Todas las edades;Total;1 de enero de 2012;10.551
02 Albacete;02025 Caudete;Todas las edades;Total;1 de enero de 2011;10.477
02 Albacete;02025 Caudete;Todas las edades;Total;1 de enero de 2010;10.450
02 Albacete;02026 Cenizate;Todas las edades;Total;1 de enero de 2022;1.183
02 Albacete;02026 Cenizate;Todas las edades;Total;1 de enero de 2021;1.186
02 Albacete;02026 Cenizate;Todas las edades;Total;1 de enero de 2020;1.194
02 Albacete;02026 Cenizate;Todas las edades;Total;1 de enero de 2019;1.181
02 Albacete;02026 Cenizate;Todas las edades;Total;1 de enero de 2018;1.182
02 Albacete;02026 Cenizate;Todas las edades;Total;1 de enero de 2017;1.192
02 Albacete;02026 Cenizate;Todas las edades;Total;1 de enero de 2016;1.204
02 Albacete;02026 Cenizate;Todas las edades;Total;1 de enero de 2015;1.174
02 Albacete;02026 Cenizate;Todas las edades;Total;1 de enero de 2014;1.176
02 Albacete;02026 Cenizate;Todas las edades;Total;1 de enero de 2013;1.296
02 Albacete;02026 Cenizate;Todas las edades;Total;1 de enero de 2012;1.306
02 Albacete;02026 Cenizate;Todas las edades;Total;1 de enero de 2011;1.307
02 Albacete;02026 Cenizate;Todas las edades;Total;1 de enero de 2010;1.316
02 Albacete;02029 Chinchilla de Monte-Aragón;Todas las edades;Total;1 de enero de 2022;4.497
02 Albacete;02029 Chinchilla de Monte-Aragón;Todas las edades;Total;1 de enero de 2021;4.344
02 Albacete;02029 Chinchilla de Monte-Aragón;Todas las edades;Total;1 de enero de 2020;4.205
02 Albacete;02029 Chinchilla de Monte-Aragón;Todas las edades;Total;1 de enero de 2019;4.206
