Municipios;Nacionalidad;Sexo;Destino;Total
02067-Riópar;Total;Total;Otra CCAA;25
02067-Riópar;Total;Total;Extranjero;7
02068-Robledo;Total;Total;Misma provincia;16
02068-Robledo;Total;Total;Misma CCAA distinta provincia;3
02068-Robledo;Total;Total;Otra CCAA;9
02068-Robledo;Total;Total;Extranjero;0
02069-Roda, La;Total;Total;Misma provincia;114
02069-Roda, La;Total;Total;Misma CCAA distinta provincia;55
02069-Roda, La;Total;Total;Otra CCAA;198
02069-Roda, La;Total;Total;Extranjero;494
02070-Salobre;Total;Total;Misma provincia;4
02070-Salobre;Total;Total;Misma CCAA distinta provincia;1
02070-Salobre;Total;Total;Otra CCAA;7
02070-Salobre;Total;Total;Extranjero;1
02071-San Pedro;Total;Total;Misma provincia;21
02071-San Pedro;Total;Total;Misma CCAA distinta provincia;0
02071-San Pedro;Total;Total;Otra CCAA;5
02071-San Pedro;Total;Total;Extranjero;2
02072-Socovos;Total;Total;Misma provincia;13
02072-Socovos;Total;Total;Misma CCAA distinta provincia;0
02072-Socovos;Total;Total;Otra CCAA;42
02072-Socovos;Total;Total;Extranjero;1
02073-Tarazona de la Mancha;Total;Total;Misma provincia;73
02073-Tarazona de la Mancha;Total;Total;Misma CCAA distinta provincia;28
02073-Tarazona de la Mancha;Total;Total;Otra CCAA;64
02073-Tarazona de la Mancha;Total;Total;Extranjero;4
02074-Tobarra;Total;Total;Misma provincia;77
02074-Tobarra;Total;Total;Misma CCAA distinta provincia;6
02074-Tobarra;Total;Total;Otra CCAA;105
02074-Tobarra;Total;Total;Extranjero;8
02075-Valdeganga;Total;Total;Misma provincia;49
02075-Valdeganga;Total;Total;Misma CCAA distinta provincia;5
02075-Valdeganga;Total;Total;Otra CCAA;15
02075-Valdeganga;Total;Total;Extranjero;1
02076-Vianos;Total;Total;Misma provincia;12
02076-Vianos;Total;Total;Misma CCAA distinta provincia;4
02076-Vianos;Total;Total;Otra CCAA;2
02076-Vianos;Total;Total;Extranjero;0
02077-Villa de Ves;Total;Total;Misma provincia;0
02077-Villa de Ves;Total;Total;Misma CCAA distinta provincia;0
02077-Villa de Ves;Total;Total;Otra CCAA;4
02077-Villa de Ves;Total;Total;Extranjero;0
02078-Villalgordo del Júcar;Total;Total;Misma provincia;13
02078-Villalgordo del Júcar;Total;Total;Misma CCAA distinta provincia;7
02078-Villalgordo del Júcar;Total;Total;Otra CCAA;2
02078-Villalgordo del Júcar;Total;Total;Extranjero;0
02079-Villamalea;Total;Total;Misma provincia;49
02079-Villamalea;Total;Total;Misma CCAA distinta provincia;7
02079-Villamalea;Total;Total;Otra CCAA;48
02079-Villamalea;Total;Total;Extranjero;52
02080-Villapalacios;Total;Total;Misma provincia;9
02080-Villapalacios;Total;Total;Misma CCAA distinta provincia;6
