Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;13 Ciudad Real;13903 Arenales de San Gregorio;De 80 a 84 años;1 de enero de 2020;22
Total;13 Ciudad Real;13903 Arenales de San Gregorio;De 85 a 89 años;1 de enero de 2020;18
Total;13 Ciudad Real;13903 Arenales de San Gregorio;De 90 a 94 años;1 de enero de 2020;10
Total;13 Ciudad Real;13903 Arenales de San Gregorio;De 95 a 99 años;1 de enero de 2020;2
Total;13 Ciudad Real;13903 Arenales de San Gregorio;100 y más años;1 de enero de 2020;0
Total;13 Ciudad Real;13018 Arenas de San Juan;Todas las edades;1 de enero de 2020;1.011
Total;13 Ciudad Real;13018 Arenas de San Juan;De 0 a 4 años;1 de enero de 2020;55
Total;13 Ciudad Real;13018 Arenas de San Juan;De 5 a 9 años;1 de enero de 2020;52
Total;13 Ciudad Real;13018 Arenas de San Juan;De 10 a 14 años;1 de enero de 2020;53
Total;13 Ciudad Real;13018 Arenas de San Juan;De 65 a 69 años;1 de enero de 2020;54
Total;13 Ciudad Real;13018 Arenas de San Juan;De 70 a 74 años;1 de enero de 2020;55
Total;13 Ciudad Real;13018 Arenas de San Juan;De 75 a 79 años;1 de enero de 2020;38
Total;13 Ciudad Real;13018 Arenas de San Juan;De 80 a 84 años;1 de enero de 2020;35
Total;13 Ciudad Real;13018 Arenas de San Juan;De 85 a 89 años;1 de enero de 2020;26
Total;13 Ciudad Real;13018 Arenas de San Juan;De 90 a 94 años;1 de enero de 2020;12
Total;13 Ciudad Real;13018 Arenas de San Juan;De 95 a 99 años;1 de enero de 2020;0
Total;13 Ciudad Real;13018 Arenas de San Juan;100 y más años;1 de enero de 2020;1
Total;13 Ciudad Real;13019 Argamasilla de Alba;Todas las edades;1 de enero de 2020;6.955
Total;13 Ciudad Real;13019 Argamasilla de Alba;De 0 a 4 años;1 de enero de 2020;298
Total;13 Ciudad Real;13019 Argamasilla de Alba;De 5 a 9 años;1 de enero de 2020;312
Total;13 Ciudad Real;13019 Argamasilla de Alba;De 10 a 14 años;1 de enero de 2020;337
Total;13 Ciudad Real;13019 Argamasilla de Alba;De 65 a 69 años;1 de enero de 2020;316
Total;13 Ciudad Real;13019 Argamasilla de Alba;De 70 a 74 años;1 de enero de 2020;301
Total;13 Ciudad Real;13019 Argamasilla de Alba;De 75 a 79 años;1 de enero de 2020;227
Total;13 Ciudad Real;13019 Argamasilla de Alba;De 80 a 84 años;1 de enero de 2020;171
Total;13 Ciudad Real;13019 Argamasilla de Alba;De 85 a 89 años;1 de enero de 2020;160
Total;13 Ciudad Real;13019 Argamasilla de Alba;De 90 a 94 años;1 de enero de 2020;65
Total;13 Ciudad Real;13019 Argamasilla de Alba;De 95 a 99 años;1 de enero de 2020;17
Total;13 Ciudad Real;13019 Argamasilla de Alba;100 y más años;1 de enero de 2020;4
Total;13 Ciudad Real;13020 Argamasilla de Calatrava;Todas las edades;1 de enero de 2020;5.841
Total;13 Ciudad Real;13020 Argamasilla de Calatrava;De 0 a 4 años;1 de enero de 2020;225
Total;13 Ciudad Real;13020 Argamasilla de Calatrava;De 5 a 9 años;1 de enero de 2020;310
Total;13 Ciudad Real;13020 Argamasilla de Calatrava;De 10 a 14 años;1 de enero de 2020;344
Total;13 Ciudad Real;13020 Argamasilla de Calatrava;De 65 a 69 años;1 de enero de 2020;312
Total;13 Ciudad Real;13020 Argamasilla de Calatrava;De 70 a 74 años;1 de enero de 2020;282
Total;13 Ciudad Real;13020 Argamasilla de Calatrava;De 75 a 79 años;1 de enero de 2020;212
Total;13 Ciudad Real;13020 Argamasilla de Calatrava;De 80 a 84 años;1 de enero de 2020;239
Total;13 Ciudad Real;13020 Argamasilla de Calatrava;De 85 a 89 años;1 de enero de 2020;139
Total;13 Ciudad Real;13020 Argamasilla de Calatrava;De 90 a 94 años;1 de enero de 2020;63
Total;13 Ciudad Real;13020 Argamasilla de Calatrava;De 95 a 99 años;1 de enero de 2020;18
Total;13 Ciudad Real;13020 Argamasilla de Calatrava;100 y más años;1 de enero de 2020;0
Total;13 Ciudad Real;13021 Arroba de los Montes;Todas las edades;1 de enero de 2020;421
Total;13 Ciudad Real;13021 Arroba de los Montes;De 0 a 4 años;1 de enero de 2020;6
Total;13 Ciudad Real;13021 Arroba de los Montes;De 5 a 9 años;1 de enero de 2020;8
Total;13 Ciudad Real;13021 Arroba de los Montes;De 10 a 14 años;1 de enero de 2020;4
Total;13 Ciudad Real;13021 Arroba de los Montes;De 65 a 69 años;1 de enero de 2020;35
Total;13 Ciudad Real;13021 Arroba de los Montes;De 70 a 74 años;1 de enero de 2020;37
Total;13 Ciudad Real;13021 Arroba de los Montes;De 75 a 79 años;1 de enero de 2020;31
Total;13 Ciudad Real;13021 Arroba de los Montes;De 80 a 84 años;1 de enero de 2020;24
Total;13 Ciudad Real;13021 Arroba de los Montes;De 85 a 89 años;1 de enero de 2020;29
Total;13 Ciudad Real;13021 Arroba de los Montes;De 90 a 94 años;1 de enero de 2020;10
Total;13 Ciudad Real;13021 Arroba de los Montes;De 95 a 99 años;1 de enero de 2020;2
Total;13 Ciudad Real;13021 Arroba de los Montes;100 y más años;1 de enero de 2020;0
Total;13 Ciudad Real;13022 Ballesteros de Calatrava;Todas las edades;1 de enero de 2020;376
Total;13 Ciudad Real;13022 Ballesteros de Calatrava;De 0 a 4 años;1 de enero de 2020;7
Total;13 Ciudad Real;13022 Ballesteros de Calatrava;De 5 a 9 años;1 de enero de 2020;9
Total;13 Ciudad Real;13022 Ballesteros de Calatrava;De 10 a 14 años;1 de enero de 2020;7
Total;13 Ciudad Real;13022 Ballesteros de Calatrava;De 65 a 69 años;1 de enero de 2020;28
Total;13 Ciudad Real;13022 Ballesteros de Calatrava;De 70 a 74 años;1 de enero de 2020;21
Total;13 Ciudad Real;13022 Ballesteros de Calatrava;De 75 a 79 años;1 de enero de 2020;28
Total;13 Ciudad Real;13022 Ballesteros de Calatrava;De 80 a 84 años;1 de enero de 2020;25
Total;13 Ciudad Real;13022 Ballesteros de Calatrava;De 85 a 89 años;1 de enero de 2020;15
Total;13 Ciudad Real;13022 Ballesteros de Calatrava;De 90 a 94 años;1 de enero de 2020;6
Total;13 Ciudad Real;13022 Ballesteros de Calatrava;De 95 a 99 años;1 de enero de 2020;4
Total;13 Ciudad Real;13022 Ballesteros de Calatrava;100 y más años;1 de enero de 2020;0
Total;13 Ciudad Real;13023 Bolaños de Calatrava;Todas las edades;1 de enero de 2020;12.019
Total;13 Ciudad Real;13023 Bolaños de Calatrava;De 0 a 4 años;1 de enero de 2020;544
Total;13 Ciudad Real;13023 Bolaños de Calatrava;De 5 a 9 años;1 de enero de 2020;599
Total;13 Ciudad Real;13023 Bolaños de Calatrava;De 10 a 14 años;1 de enero de 2020;632
Total;13 Ciudad Real;13023 Bolaños de Calatrava;De 65 a 69 años;1 de enero de 2020;490
Total;13 Ciudad Real;13023 Bolaños de Calatrava;De 70 a 74 años;1 de enero de 2020;473
Total;13 Ciudad Real;13023 Bolaños de Calatrava;De 75 a 79 años;1 de enero de 2020;465
Total;13 Ciudad Real;13023 Bolaños de Calatrava;De 80 a 84 años;1 de enero de 2020;324
Total;13 Ciudad Real;13023 Bolaños de Calatrava;De 85 a 89 años;1 de enero de 2020;246
Total;13 Ciudad Real;13023 Bolaños de Calatrava;De 90 a 94 años;1 de enero de 2020;86
Total;13 Ciudad Real;13023 Bolaños de Calatrava;De 95 a 99 años;1 de enero de 2020;19
Total;13 Ciudad Real;13023 Bolaños de Calatrava;100 y más años;1 de enero de 2020;2
Total;13 Ciudad Real;13024 Brazatortas;Todas las edades;1 de enero de 2020;995
Total;13 Ciudad Real;13024 Brazatortas;De 0 a 4 años;1 de enero de 2020;23
Total;13 Ciudad Real;13024 Brazatortas;De 5 a 9 años;1 de enero de 2020;25
Total;13 Ciudad Real;13024 Brazatortas;De 10 a 14 años;1 de enero de 2020;37
Total;13 Ciudad Real;13024 Brazatortas;De 65 a 69 años;1 de enero de 2020;80
Total;13 Ciudad Real;13024 Brazatortas;De 70 a 74 años;1 de enero de 2020;52
Total;13 Ciudad Real;13024 Brazatortas;De 75 a 79 años;1 de enero de 2020;52
Total;13 Ciudad Real;13024 Brazatortas;De 80 a 84 años;1 de enero de 2020;50
Total;13 Ciudad Real;13024 Brazatortas;De 85 a 89 años;1 de enero de 2020;43
Total;13 Ciudad Real;13024 Brazatortas;De 90 a 94 años;1 de enero de 2020;16
Total;13 Ciudad Real;13024 Brazatortas;De 95 a 99 años;1 de enero de 2020;15
