Municipio;Nacionalidad;Sexo;Destino;Total
16049 Cañavate, El;Total;Total;Misma comunidad autónoma, distinta provincia;""
16049 Cañavate, El;Total;Total;Otra comunidad autónoma;""
16049 Cañavate, El;Total;Total;Extranjero;""
16050 Cañaveras;Total;Total;Misma provincia;""
16050 Cañaveras;Total;Total;Misma comunidad autónoma, distinta provincia;""
16050 Cañaveras;Total;Total;Otra comunidad autónoma;""
16050 Cañaveras;Total;Total;Extranjero;""
16051 Cañaveruelas;Total;Total;Misma provincia;""
16051 Cañaveruelas;Total;Total;Misma comunidad autónoma, distinta provincia;""
16051 Cañaveruelas;Total;Total;Otra comunidad autónoma;""
16051 Cañaveruelas;Total;Total;Extranjero;""
16052 Cañete;Total;Total;Misma provincia;""
16052 Cañete;Total;Total;Misma comunidad autónoma, distinta provincia;""
16052 Cañete;Total;Total;Otra comunidad autónoma;""
16052 Cañete;Total;Total;Extranjero;""
16053 Cañizares;Total;Total;Misma provincia;""
16053 Cañizares;Total;Total;Misma comunidad autónoma, distinta provincia;""
16053 Cañizares;Total;Total;Otra comunidad autónoma;""
16053 Cañizares;Total;Total;Extranjero;""
16055 Carboneras de Guadazaón;Total;Total;Misma provincia;""
16055 Carboneras de Guadazaón;Total;Total;Misma comunidad autónoma, distinta provincia;""
16055 Carboneras de Guadazaón;Total;Total;Otra comunidad autónoma;""
16055 Carboneras de Guadazaón;Total;Total;Extranjero;""
16056 Cardenete;Total;Total;Misma provincia;""
16056 Cardenete;Total;Total;Misma comunidad autónoma, distinta provincia;""
16056 Cardenete;Total;Total;Otra comunidad autónoma;""
16056 Cardenete;Total;Total;Extranjero;""
16057 Carrascosa;Total;Total;Misma provincia;""
16057 Carrascosa;Total;Total;Misma comunidad autónoma, distinta provincia;""
16057 Carrascosa;Total;Total;Otra comunidad autónoma;""
16057 Carrascosa;Total;Total;Extranjero;""
16058 Carrascosa de Haro;Total;Total;Misma provincia;""
16058 Carrascosa de Haro;Total;Total;Misma comunidad autónoma, distinta provincia;""
16058 Carrascosa de Haro;Total;Total;Otra comunidad autónoma;""
16058 Carrascosa de Haro;Total;Total;Extranjero;""
16060 Casas de Benítez;Total;Total;Misma provincia;""
16060 Casas de Benítez;Total;Total;Misma comunidad autónoma, distinta provincia;""
