Municipio;Nacionalidad;Sexo;Destino;Total
45060 Erustes;Total;Total;Misma comunidad autónoma, distinta provincia;0
45060 Erustes;Total;Total;Otra comunidad autónoma;2
45060 Erustes;Total;Total;Extranjero;0
45061 Escalona;Total;Total;Misma provincia;52
45061 Escalona;Total;Total;Misma comunidad autónoma, distinta provincia;5
45061 Escalona;Total;Total;Otra comunidad autónoma;85
45061 Escalona;Total;Total;Extranjero;8
45062 Escalonilla;Total;Total;Misma provincia;38
45062 Escalonilla;Total;Total;Misma comunidad autónoma, distinta provincia;0
45062 Escalonilla;Total;Total;Otra comunidad autónoma;20
45062 Escalonilla;Total;Total;Extranjero;10
45063 Espinoso del Rey;Total;Total;Misma provincia;8
45063 Espinoso del Rey;Total;Total;Misma comunidad autónoma, distinta provincia;0
45063 Espinoso del Rey;Total;Total;Otra comunidad autónoma;12
45063 Espinoso del Rey;Total;Total;Extranjero;0
45064 Esquivias;Total;Total;Misma provincia;87
45064 Esquivias;Total;Total;Misma comunidad autónoma, distinta provincia;6
45064 Esquivias;Total;Total;Otra comunidad autónoma;94
45064 Esquivias;Total;Total;Extranjero;29
45065 Estrella, La;Total;Total;Misma provincia;2
45065 Estrella, La;Total;Total;Misma comunidad autónoma, distinta provincia;0
45065 Estrella, La;Total;Total;Otra comunidad autónoma;3
45065 Estrella, La;Total;Total;Extranjero;0
45066 Fuensalida;Total;Total;Misma provincia;247
45066 Fuensalida;Total;Total;Misma comunidad autónoma, distinta provincia;9
45066 Fuensalida;Total;Total;Otra comunidad autónoma;274
45066 Fuensalida;Total;Total;Extranjero;59
45067 Gálvez;Total;Total;Misma provincia;44
45067 Gálvez;Total;Total;Misma comunidad autónoma, distinta provincia;3
45067 Gálvez;Total;Total;Otra comunidad autónoma;47
45067 Gálvez;Total;Total;Extranjero;20
45068 Garciotum;Total;Total;Misma provincia;0
45068 Garciotum;Total;Total;Misma comunidad autónoma, distinta provincia;0
45068 Garciotum;Total;Total;Otra comunidad autónoma;6
45068 Garciotum;Total;Total;Extranjero;0
45069 Gerindote;Total;Total;Misma provincia;60
45069 Gerindote;Total;Total;Misma comunidad autónoma, distinta provincia;6
45069 Gerindote;Total;Total;Otra comunidad autónoma;23
45069 Gerindote;Total;Total;Extranjero;5
45070 Guadamur;Total;Total;Misma provincia;33
45070 Guadamur;Total;Total;Misma comunidad autónoma, distinta provincia;0
45070 Guadamur;Total;Total;Otra comunidad autónoma;29
45070 Guadamur;Total;Total;Extranjero;6
45071 Guardia, La;Total;Total;Misma provincia;20
45071 Guardia, La;Total;Total;Misma comunidad autónoma, distinta provincia;0
45071 Guardia, La;Total;Total;Otra comunidad autónoma;51
45071 Guardia, La;Total;Total;Extranjero;5
45072 Herencias, Las;Total;Total;Misma provincia;17
45072 Herencias, Las;Total;Total;Misma comunidad autónoma, distinta provincia;0
45072 Herencias, Las;Total;Total;Otra comunidad autónoma;22
45072 Herencias, Las;Total;Total;Extranjero;1
45073 Herreruela de Oropesa;Total;Total;Misma provincia;11
45073 Herreruela de Oropesa;Total;Total;Misma comunidad autónoma, distinta provincia;0
45073 Herreruela de Oropesa;Total;Total;Otra comunidad autónoma;8
45073 Herreruela de Oropesa;Total;Total;Extranjero;0
45074 Hinojosa de San Vicente;Total;Total;Misma provincia;3
45074 Hinojosa de San Vicente;Total;Total;Misma comunidad autónoma, distinta provincia;1
45074 Hinojosa de San Vicente;Total;Total;Otra comunidad autónoma;9
45074 Hinojosa de San Vicente;Total;Total;Extranjero;0
45075 Hontanar;Total;Total;Misma provincia;14
45075 Hontanar;Total;Total;Misma comunidad autónoma, distinta provincia;2
45075 Hontanar;Total;Total;Otra comunidad autónoma;4
45075 Hontanar;Total;Total;Extranjero;0
45076 Hormigos;Total;Total;Misma provincia;14
45076 Hormigos;Total;Total;Misma comunidad autónoma, distinta provincia;0
45076 Hormigos;Total;Total;Otra comunidad autónoma;30
45076 Hormigos;Total;Total;Extranjero;1
45077 Huecas;Total;Total;Misma provincia;25
45077 Huecas;Total;Total;Misma comunidad autónoma, distinta provincia;0
45077 Huecas;Total;Total;Otra comunidad autónoma;21
45077 Huecas;Total;Total;Extranjero;4
45078 Huerta de Valdecarábanos;Total;Total;Misma provincia;24
45078 Huerta de Valdecarábanos;Total;Total;Misma comunidad autónoma, distinta provincia;3
45078 Huerta de Valdecarábanos;Total;Total;Otra comunidad autónoma;28
45078 Huerta de Valdecarábanos;Total;Total;Extranjero;3
45079 Iglesuela del Tiétar, La;Total;Total;Misma provincia;6
45079 Iglesuela del Tiétar, La;Total;Total;Misma comunidad autónoma, distinta provincia;3
45079 Iglesuela del Tiétar, La;Total;Total;Otra comunidad autónoma;14
45079 Iglesuela del Tiétar, La;Total;Total;Extranjero;0
45080 Illán de Vacas;Total;Total;Misma provincia;0
45080 Illán de Vacas;Total;Total;Misma comunidad autónoma, distinta provincia;0
45080 Illán de Vacas;Total;Total;Otra comunidad autónoma;0
45080 Illán de Vacas;Total;Total;Extranjero;0
45081 Illescas;Total;Total;Misma provincia;364
45081 Illescas;Total;Total;Misma comunidad autónoma, distinta provincia;45
45081 Illescas;Total;Total;Otra comunidad autónoma;911
45081 Illescas;Total;Total;Extranjero;161
45082 Lagartera;Total;Total;Misma provincia;17
45082 Lagartera;Total;Total;Misma comunidad autónoma, distinta provincia;0
45082 Lagartera;Total;Total;Otra comunidad autónoma;10
45082 Lagartera;Total;Total;Extranjero;1
45083 Layos;Total;Total;Misma provincia;15
45083 Layos;Total;Total;Misma comunidad autónoma, distinta provincia;4
45083 Layos;Total;Total;Otra comunidad autónoma;14
45083 Layos;Total;Total;Extranjero;0
45084 Lillo;Total;Total;Misma provincia;27
45084 Lillo;Total;Total;Misma comunidad autónoma, distinta provincia;4
45084 Lillo;Total;Total;Otra comunidad autónoma;46
45084 Lillo;Total;Total;Extranjero;15
45085 Lominchar;Total;Total;Misma provincia;64
45085 Lominchar;Total;Total;Misma comunidad autónoma, distinta provincia;3
45085 Lominchar;Total;Total;Otra comunidad autónoma;76
45085 Lominchar;Total;Total;Extranjero;94
45086 Lucillos;Total;Total;Misma provincia;10
45086 Lucillos;Total;Total;Misma comunidad autónoma, distinta provincia;3
45086 Lucillos;Total;Total;Otra comunidad autónoma;16
45086 Lucillos;Total;Total;Extranjero;0
45087 Madridejos;Total;Total;Misma provincia;47
45087 Madridejos;Total;Total;Misma comunidad autónoma, distinta provincia;26
45087 Madridejos;Total;Total;Otra comunidad autónoma;90
45087 Madridejos;Total;Total;Extranjero;14
45088 Magán;Total;Total;Misma provincia;138
45088 Magán;Total;Total;Misma comunidad autónoma, distinta provincia;9
45088 Magán;Total;Total;Otra comunidad autónoma;107
45088 Magán;Total;Total;Extranjero;9
45089 Malpica de Tajo;Total;Total;Misma provincia;10
45089 Malpica de Tajo;Total;Total;Misma comunidad autónoma, distinta provincia;1
45089 Malpica de Tajo;Total;Total;Otra comunidad autónoma;14
45089 Malpica de Tajo;Total;Total;Extranjero;0
45090 Manzaneque;Total;Total;Misma provincia;6
45090 Manzaneque;Total;Total;Misma comunidad autónoma, distinta provincia;0
45090 Manzaneque;Total;Total;Otra comunidad autónoma;9
45090 Manzaneque;Total;Total;Extranjero;0
45091 Maqueda;Total;Total;Misma provincia;13
45091 Maqueda;Total;Total;Misma comunidad autónoma, distinta provincia;0
45091 Maqueda;Total;Total;Otra comunidad autónoma;4
45091 Maqueda;Total;Total;Extranjero;0
45092 Marjaliza;Total;Total;Misma provincia;11
45092 Marjaliza;Total;Total;Misma comunidad autónoma, distinta provincia;0
45092 Marjaliza;Total;Total;Otra comunidad autónoma;4
45092 Marjaliza;Total;Total;Extranjero;0
45093 Marrupe;Total;Total;Misma provincia;2
45093 Marrupe;Total;Total;Misma comunidad autónoma, distinta provincia;0
45093 Marrupe;Total;Total;Otra comunidad autónoma;3
45093 Marrupe;Total;Total;Extranjero;0
45094 Mascaraque;Total;Total;Misma provincia;15
45094 Mascaraque;Total;Total;Misma comunidad autónoma, distinta provincia;0
45094 Mascaraque;Total;Total;Otra comunidad autónoma;10
45094 Mascaraque;Total;Total;Extranjero;3
45095 Mata, La;Total;Total;Misma provincia;27
45095 Mata, La;Total;Total;Misma comunidad autónoma, distinta provincia;0
45095 Mata, La;Total;Total;Otra comunidad autónoma;17
45095 Mata, La;Total;Total;Extranjero;0
45096 Mazarambroz;Total;Total;Misma provincia;9
45096 Mazarambroz;Total;Total;Misma comunidad autónoma, distinta provincia;1
45096 Mazarambroz;Total;Total;Otra comunidad autónoma;3
45096 Mazarambroz;Total;Total;Extranjero;5
45097 Mejorada;Total;Total;Misma provincia;18
45097 Mejorada;Total;Total;Misma comunidad autónoma, distinta provincia;0
45097 Mejorada;Total;Total;Otra comunidad autónoma;8
45097 Mejorada;Total;Total;Extranjero;0
45098 Menasalbas;Total;Total;Misma provincia;29
45098 Menasalbas;Total;Total;Misma comunidad autónoma, distinta provincia;1
45098 Menasalbas;Total;Total;Otra comunidad autónoma;24
45098 Menasalbas;Total;Total;Extranjero;18
45099 Méntrida;Total;Total;Misma provincia;56
45099 Méntrida;Total;Total;Misma comunidad autónoma, distinta provincia;5
45099 Méntrida;Total;Total;Otra comunidad autónoma;199
45099 Méntrida;Total;Total;Extranjero;10
45100 Mesegar de Tajo;Total;Total;Misma provincia;11
45100 Mesegar de Tajo;Total;Total;Misma comunidad autónoma, distinta provincia;1
45100 Mesegar de Tajo;Total;Total;Otra comunidad autónoma;1
45100 Mesegar de Tajo;Total;Total;Extranjero;0
45101 Miguel Esteban;Total;Total;Misma provincia;24
45101 Miguel Esteban;Total;Total;Misma comunidad autónoma, distinta provincia;25
45101 Miguel Esteban;Total;Total;Otra comunidad autónoma;44
45101 Miguel Esteban;Total;Total;Extranjero;31
45102 Mocejón;Total;Total;Misma provincia;121
45102 Mocejón;Total;Total;Misma comunidad autónoma, distinta provincia;2
45102 Mocejón;Total;Total;Otra comunidad autónoma;62
45102 Mocejón;Total;Total;Extranjero;14
45103 Mohedas de la Jara;Total;Total;Misma provincia;5
45103 Mohedas de la Jara;Total;Total;Misma comunidad autónoma, distinta provincia;0
45103 Mohedas de la Jara;Total;Total;Otra comunidad autónoma;4
45103 Mohedas de la Jara;Total;Total;Extranjero;0
45104 Montearagón;Total;Total;Misma provincia;27
45104 Montearagón;Total;Total;Misma comunidad autónoma, distinta provincia;0
45104 Montearagón;Total;Total;Otra comunidad autónoma;9
45104 Montearagón;Total;Total;Extranjero;0
45105 Montesclaros;Total;Total;Misma provincia;6
45105 Montesclaros;Total;Total;Misma comunidad autónoma, distinta provincia;0
45105 Montesclaros;Total;Total;Otra comunidad autónoma;6
45105 Montesclaros;Total;Total;Extranjero;0
45106 Mora;Total;Total;Misma provincia;82
45106 Mora;Total;Total;Misma comunidad autónoma, distinta provincia;17
45106 Mora;Total;Total;Otra comunidad autónoma;121
45106 Mora;Total;Total;Extranjero;21
45107 Nambroca;Total;Total;Misma provincia;129
45107 Nambroca;Total;Total;Misma comunidad autónoma, distinta provincia;6
45107 Nambroca;Total;Total;Otra comunidad autónoma;64
45107 Nambroca;Total;Total;Extranjero;9
45108 Nava de Ricomalillo, La;Total;Total;Misma provincia;19
45108 Nava de Ricomalillo, La;Total;Total;Misma comunidad autónoma, distinta provincia;0
45108 Nava de Ricomalillo, La;Total;Total;Otra comunidad autónoma;10
45108 Nava de Ricomalillo, La;Total;Total;Extranjero;0
45109 Navahermosa;Total;Total;Misma provincia;53
45109 Navahermosa;Total;Total;Misma comunidad autónoma, distinta provincia;6
45109 Navahermosa;Total;Total;Otra comunidad autónoma;34
45109 Navahermosa;Total;Total;Extranjero;9
45110 Navalcán;Total;Total;Misma provincia;15
45110 Navalcán;Total;Total;Misma comunidad autónoma, distinta provincia;0
45110 Navalcán;Total;Total;Otra comunidad autónoma;22
45110 Navalcán;Total;Total;Extranjero;1
45111 Navalmoralejo;Total;Total;Misma provincia;1
45111 Navalmoralejo;Total;Total;Misma comunidad autónoma, distinta provincia;0
