Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;16 Cuenca;16015 Almarcha, La;De 70 a 74 años;1 de enero de 2020;22
Total;16 Cuenca;16015 Almarcha, La;De 75 a 79 años;1 de enero de 2020;21
Total;16 Cuenca;16015 Almarcha, La;De 80 a 84 años;1 de enero de 2020;22
Total;16 Cuenca;16015 Almarcha, La;De 85 a 89 años;1 de enero de 2020;21
Total;16 Cuenca;16015 Almarcha, La;De 90 a 94 años;1 de enero de 2020;8
Total;16 Cuenca;16015 Almarcha, La;De 95 a 99 años;1 de enero de 2020;2
Total;16 Cuenca;16015 Almarcha, La;100 y más años;1 de enero de 2020;0
Total;16 Cuenca;16016 Almendros;Todas las edades;1 de enero de 2020;239
Total;16 Cuenca;16016 Almendros;De 0 a 4 años;1 de enero de 2020;5
Total;16 Cuenca;16016 Almendros;De 5 a 9 años;1 de enero de 2020;3
Total;16 Cuenca;16016 Almendros;De 10 a 14 años;1 de enero de 2020;3
Total;16 Cuenca;16016 Almendros;De 65 a 69 años;1 de enero de 2020;19
Total;16 Cuenca;16016 Almendros;De 70 a 74 años;1 de enero de 2020;21
Total;16 Cuenca;16016 Almendros;De 75 a 79 años;1 de enero de 2020;28
Total;16 Cuenca;16016 Almendros;De 80 a 84 años;1 de enero de 2020;9
Total;16 Cuenca;16016 Almendros;De 85 a 89 años;1 de enero de 2020;5
Total;16 Cuenca;16016 Almendros;De 90 a 94 años;1 de enero de 2020;7
Total;16 Cuenca;16016 Almendros;De 95 a 99 años;1 de enero de 2020;2
Total;16 Cuenca;16016 Almendros;100 y más años;1 de enero de 2020;0
Total;16 Cuenca;16017 Almodóvar del Pinar;Todas las edades;1 de enero de 2020;393
Total;16 Cuenca;16017 Almodóvar del Pinar;De 0 a 4 años;1 de enero de 2020;10
Total;16 Cuenca;16017 Almodóvar del Pinar;De 5 a 9 años;1 de enero de 2020;12
Total;16 Cuenca;16017 Almodóvar del Pinar;De 10 a 14 años;1 de enero de 2020;13
Total;16 Cuenca;16017 Almodóvar del Pinar;De 65 a 69 años;1 de enero de 2020;25
Total;16 Cuenca;16017 Almodóvar del Pinar;De 70 a 74 años;1 de enero de 2020;26
Total;16 Cuenca;16017 Almodóvar del Pinar;De 75 a 79 años;1 de enero de 2020;24
Total;16 Cuenca;16017 Almodóvar del Pinar;De 80 a 84 años;1 de enero de 2020;18
Total;16 Cuenca;16017 Almodóvar del Pinar;De 85 a 89 años;1 de enero de 2020;20
Total;16 Cuenca;16017 Almodóvar del Pinar;De 90 a 94 años;1 de enero de 2020;9
Total;16 Cuenca;16017 Almodóvar del Pinar;De 95 a 99 años;1 de enero de 2020;1
Total;16 Cuenca;16017 Almodóvar del Pinar;100 y más años;1 de enero de 2020;0
Total;16 Cuenca;16018 Almonacid del Marquesado;Todas las edades;1 de enero de 2020;432
Total;16 Cuenca;16018 Almonacid del Marquesado;De 0 a 4 años;1 de enero de 2020;9
Total;16 Cuenca;16018 Almonacid del Marquesado;De 5 a 9 años;1 de enero de 2020;17
Total;16 Cuenca;16018 Almonacid del Marquesado;De 10 a 14 años;1 de enero de 2020;5
Total;16 Cuenca;16018 Almonacid del Marquesado;De 65 a 69 años;1 de enero de 2020;21
Total;16 Cuenca;16018 Almonacid del Marquesado;De 70 a 74 años;1 de enero de 2020;20
Total;16 Cuenca;16018 Almonacid del Marquesado;De 75 a 79 años;1 de enero de 2020;34
Total;16 Cuenca;16018 Almonacid del Marquesado;De 80 a 84 años;1 de enero de 2020;33
Total;16 Cuenca;16018 Almonacid del Marquesado;De 85 a 89 años;1 de enero de 2020;19
Total;16 Cuenca;16018 Almonacid del Marquesado;De 90 a 94 años;1 de enero de 2020;13
Total;16 Cuenca;16018 Almonacid del Marquesado;De 95 a 99 años;1 de enero de 2020;0
Total;16 Cuenca;16018 Almonacid del Marquesado;100 y más años;1 de enero de 2020;0
Total;16 Cuenca;16019 Altarejos;Todas las edades;1 de enero de 2020;188
Total;16 Cuenca;16019 Altarejos;De 0 a 4 años;1 de enero de 2020;0
Total;16 Cuenca;16019 Altarejos;De 5 a 9 años;1 de enero de 2020;3
Total;16 Cuenca;16019 Altarejos;De 10 a 14 años;1 de enero de 2020;2
Total;16 Cuenca;16019 Altarejos;De 65 a 69 años;1 de enero de 2020;16
Total;16 Cuenca;16019 Altarejos;De 70 a 74 años;1 de enero de 2020;11
Total;16 Cuenca;16019 Altarejos;De 75 a 79 años;1 de enero de 2020;20
Total;16 Cuenca;16019 Altarejos;De 80 a 84 años;1 de enero de 2020;22
Total;16 Cuenca;16019 Altarejos;De 85 a 89 años;1 de enero de 2020;11
Total;16 Cuenca;16019 Altarejos;De 90 a 94 años;1 de enero de 2020;7
Total;16 Cuenca;16019 Altarejos;De 95 a 99 años;1 de enero de 2020;3
Total;16 Cuenca;16019 Altarejos;100 y más años;1 de enero de 2020;1
Total;16 Cuenca;16020 Arandilla del Arroyo;Todas las edades;1 de enero de 2020;7
Total;16 Cuenca;16020 Arandilla del Arroyo;De 0 a 4 años;1 de enero de 2020;0
Total;16 Cuenca;16020 Arandilla del Arroyo;De 5 a 9 años;1 de enero de 2020;0
Total;16 Cuenca;16020 Arandilla del Arroyo;De 10 a 14 años;1 de enero de 2020;0
Total;16 Cuenca;16020 Arandilla del Arroyo;De 65 a 69 años;1 de enero de 2020;2
Total;16 Cuenca;16020 Arandilla del Arroyo;De 70 a 74 años;1 de enero de 2020;0
Total;16 Cuenca;16020 Arandilla del Arroyo;De 75 a 79 años;1 de enero de 2020;0
Total;16 Cuenca;16020 Arandilla del Arroyo;De 80 a 84 años;1 de enero de 2020;1
Total;16 Cuenca;16020 Arandilla del Arroyo;De 85 a 89 años;1 de enero de 2020;1
