Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;19 Guadalajara;19022 Almonacid de Zorita;De 0 a 4 años;1 de enero de 2020;19
Total;19 Guadalajara;19022 Almonacid de Zorita;De 5 a 9 años;1 de enero de 2020;15
Total;19 Guadalajara;19022 Almonacid de Zorita;De 10 a 14 años;1 de enero de 2020;19
Total;19 Guadalajara;19022 Almonacid de Zorita;De 65 a 69 años;1 de enero de 2020;40
Total;19 Guadalajara;19022 Almonacid de Zorita;De 70 a 74 años;1 de enero de 2020;32
Total;19 Guadalajara;19022 Almonacid de Zorita;De 75 a 79 años;1 de enero de 2020;39
Total;19 Guadalajara;19022 Almonacid de Zorita;De 80 a 84 años;1 de enero de 2020;35
Total;19 Guadalajara;19022 Almonacid de Zorita;De 85 a 89 años;1 de enero de 2020;50
Total;19 Guadalajara;19022 Almonacid de Zorita;De 90 a 94 años;1 de enero de 2020;36
Total;19 Guadalajara;19022 Almonacid de Zorita;De 95 a 99 años;1 de enero de 2020;6
Total;19 Guadalajara;19022 Almonacid de Zorita;100 y más años;1 de enero de 2020;1
Total;19 Guadalajara;19023 Alocén;Todas las edades;1 de enero de 2020;161
Total;19 Guadalajara;19023 Alocén;De 0 a 4 años;1 de enero de 2020;3
Total;19 Guadalajara;19023 Alocén;De 5 a 9 años;1 de enero de 2020;9
Total;19 Guadalajara;19023 Alocén;De 10 a 14 años;1 de enero de 2020;15
Total;19 Guadalajara;19023 Alocén;De 65 a 69 años;1 de enero de 2020;12
Total;19 Guadalajara;19023 Alocén;De 70 a 74 años;1 de enero de 2020;9
Total;19 Guadalajara;19023 Alocén;De 75 a 79 años;1 de enero de 2020;5
Total;19 Guadalajara;19023 Alocén;De 80 a 84 años;1 de enero de 2020;3
Total;19 Guadalajara;19023 Alocén;De 85 a 89 años;1 de enero de 2020;0
Total;19 Guadalajara;19023 Alocén;De 90 a 94 años;1 de enero de 2020;1
Total;19 Guadalajara;19023 Alocén;De 95 a 99 años;1 de enero de 2020;1
Total;19 Guadalajara;19023 Alocén;100 y más años;1 de enero de 2020;0
Total;19 Guadalajara;19024 Alovera;Todas las edades;1 de enero de 2020;12.860
Total;19 Guadalajara;19024 Alovera;De 0 a 4 años;1 de enero de 2020;686
Total;19 Guadalajara;19024 Alovera;De 5 a 9 años;1 de enero de 2020;967
Total;19 Guadalajara;19024 Alovera;De 10 a 14 años;1 de enero de 2020;1.116
Total;19 Guadalajara;19024 Alovera;De 65 a 69 años;1 de enero de 2020;291
Total;19 Guadalajara;19024 Alovera;De 70 a 74 años;1 de enero de 2020;219
Total;19 Guadalajara;19024 Alovera;De 75 a 79 años;1 de enero de 2020;155
Total;19 Guadalajara;19024 Alovera;De 80 a 84 años;1 de enero de 2020;105
Total;19 Guadalajara;19024 Alovera;De 85 a 89 años;1 de enero de 2020;120
Total;19 Guadalajara;19024 Alovera;De 90 a 94 años;1 de enero de 2020;64
Total;19 Guadalajara;19024 Alovera;De 95 a 99 años;1 de enero de 2020;21
Total;19 Guadalajara;19024 Alovera;100 y más años;1 de enero de 2020;1
Total;19 Guadalajara;19027 Alustante;Todas las edades;1 de enero de 2020;155
Total;19 Guadalajara;19027 Alustante;De 0 a 4 años;1 de enero de 2020;3
Total;19 Guadalajara;19027 Alustante;De 5 a 9 años;1 de enero de 2020;1
Total;19 Guadalajara;19027 Alustante;De 10 a 14 años;1 de enero de 2020;6
Total;19 Guadalajara;19027 Alustante;De 65 a 69 años;1 de enero de 2020;17
Total;19 Guadalajara;19027 Alustante;De 70 a 74 años;1 de enero de 2020;7
Total;19 Guadalajara;19027 Alustante;De 75 a 79 años;1 de enero de 2020;18
Total;19 Guadalajara;19027 Alustante;De 80 a 84 años;1 de enero de 2020;8
Total;19 Guadalajara;19027 Alustante;De 85 a 89 años;1 de enero de 2020;4
Total;19 Guadalajara;19027 Alustante;De 90 a 94 años;1 de enero de 2020;5
Total;19 Guadalajara;19027 Alustante;De 95 a 99 años;1 de enero de 2020;0
Total;19 Guadalajara;19027 Alustante;100 y más años;1 de enero de 2020;0
Total;19 Guadalajara;19031 Angón;Todas las edades;1 de enero de 2020;7
Total;19 Guadalajara;19031 Angón;De 0 a 4 años;1 de enero de 2020;0
Total;19 Guadalajara;19031 Angón;De 5 a 9 años;1 de enero de 2020;0
